library,dataset,version,vkey,itr,category,energy,duration
Dask,Adult,2022.1.0,v2,10,Row/Column,0.204772,0.0222430229187011
Dask,Adult,2022.1.0,v2,10,I/O,0.04596,0.0055835247039794
Dask,Adult,2022.1.0,v2,10,I/O,1.879573,0.2020597457885742
Dask,Adult,2022.1.0,v2,10,I/O,2.994011,0.3281428813934326
Dask,Adult,2022.1.0,v2,10,I/O,2.708245,0.2924816608428955
Dask,Adult,2022.1.0,v2,10,Missing,0.006469,0.0014193058013916
Dask,Adult,2022.1.0,v2,10,Missing,0.035523,0.0048582553863525
Dask,Adult,2022.1.0,v2,10,Missing,0.063233,0.0071196556091308
Dask,Adult,2022.1.0,v2,10,Missing,0.005553,0.0015788078308105
Dask,Adult,2022.1.0,v2,10,Row/Column,0.036254,0.0040483474731445
Dask,Adult,2022.1.0,v2,10,Aggregation,0.003113,0.0007555484771728
Dask,Adult,2022.1.0,v2,10,Row/Column,0.119751,0.0143373012542724
Dask,Adult,2022.1.0,v2,10,Row/Column,0.025635,0.0039212703704833
Dask,Adult,2022.1.0,v2,10,Row/Column,0.210449,0.0256800651550292
Dask,Adult,2022.1.0,v2,10,Aggregation,0.485779,0.059342622756958
Dask,Adult,2022.1.0,v2,10,Aggregation,0.213316,0.0229840278625488
Dask,Adult,2022.1.0,v2,10,Aggregation,0.219543,0.0242402553558349
Dask,Adult,2022.1.0,v2,10,Aggregation,0.209472,0.0225729942321777
Dask,Adult,2022.1.0,v2,10,Aggregation,0.211242,0.0229325294494628
Dask,Adult,2022.1.0,v2,10,Row/Column,0.208374,0.0223424434661865
Dask,Adult,2022.1.0,v2,10,I/O,0.05188,0.0054981708526611
Dask,Adult,2022.1.0,v2,10,I/O,1.912409,0.2012810707092285
Dask,Adult,2022.1.0,v2,10,I/O,2.915825,0.3253076076507568
Dask,Adult,2022.1.0,v2,10,I/O,2.726372,0.2951617240905761
Dask,Adult,2022.1.0,v2,10,Missing,0.007324,0.0014204978942871
Dask,Adult,2022.1.0,v2,10,Missing,0.034668,0.0048487186431884
Dask,Adult,2022.1.0,v2,10,Missing,0.063049,0.007148265838623
Dask,Adult,2022.1.0,v2,10,Missing,0.006652,0.0015690326690673
Dask,Adult,2022.1.0,v2,10,Row/Column,0.026428,0.0039467811584472
Dask,Adult,2022.1.0,v2,10,Aggregation,0.005859,0.0007476806640625
Dask,Adult,2022.1.0,v2,10,Row/Column,0.123292,0.0144853591918945
Dask,Adult,2022.1.0,v2,10,Row/Column,0.026245,0.0038924217224121
